month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_sleet,icon_snow,precipType_None,precipType_rain,precipType_sleet,precipType_snow
1.0,1.0,2014.0,13.45,5.0,8.84,6.0,14.2,3.0,7.89,22.0,1.0,16.22,0.85,0.03,0.0,0.0,0.0,1024.55,5.316666666666666,14.516666666666667,21.59,14.0,18.79,6.0,1.0,10.0,4.286,55.0,14.4,12.0,6.17,0.0,0.0,9.200000000000001,0,1,0,0,0,0,1,0,0,0
1.0,2.0,2014.0,10.47,5.0,-2.73,21.0,12.25,2.0,-2.73,21.0,0.71,11.0,0.81,0.07,0.0,0.0,0.0,1024.4,5.316666666666666,14.533333333333333,19.5,5.0,-1.74,5.0,1.0,10.0,5.174,13.0,15.83,8.0,6.61,0.0,0.0,9.216666666666667,0,0,1,0,0,0,1,0,0,0
1.0,3.0,2014.0,5.07,13.0,4.25,17.0,7.86,22.0,-1.98,22.0,0.29,2.91,0.73,0.1,0.0,0.0,0.0,1025.25,5.316666666666666,14.55,16.79,17.0,16.79,17.0,1.0,10.0,9.285,193.0,23.56,20.0,6.62,0.0,0.0,9.233333333333334,0,0,1,0,0,0,1,0,0,0
1.0,4.0,2014.0,30.35,17.0,11.38,6.0,30.38,18.0,7.86,22.0,0.65,21.23,0.79,0.14,0.0,0.0003,0.06,1013.46,5.316666666666666,14.566666666666666,31.68,13.0,21.02,6.0,1.0,10.0,6.451,209.0,21.26,0.0,6.65,22.0,0.0,9.25,0,0,1,0,0,0,1,0,0,0
1.0,5.0,2014.0,11.82,5.0,-33.17,6.0,29.88,22.0,-16.65,22.0,0.99,11.48,0.83,0.18,0.0,0.0003,0.07,1016.19,5.316666666666666,14.583333333333334,21.34,5.0,-14.13,6.0,1.0,10.0,2.502,338.0,20.88,17.0,8.34,22.0,0.0,9.266666666666667,0,1,0,0,0,0,1,0,0,0
1.0,6.0,2014.0,-27.99,16.0,-28.17,17.0,-16.65,22.0,-33.21,8.0,0.37,-17.29,0.7,0.21,0.0,0.0,0.0,1022.8,5.316666666666666,14.6,-10.71,17.0,-10.71,17.0,2.0,10.0,8.331,273.0,21.93,23.0,9.46,0.0,0.0,9.283333333333333,0,0,1,0,0,0,1,0,0,0
1.0,7.0,2014.0,2.83,17.0,0.77,2.0,3.42,20.0,-24.84,22.0,0.29,-9.18,0.73,0.25,0.0,0.0,0.0,1026.09,5.316666666666666,14.616666666666667,3.83,14.0,0.77,2.0,1.0,10.0,9.069,236.0,13.54,10.0,5.06,0.0,0.0,9.3,0,0,1,0,0,0,1,0,0,0
1.0,8.0,2014.0,15.63,13.0,2.12,2.0,15.63,13.0,0.77,2.0,0.34,-0.42,0.71,0.28,0.0,0.0,0.0,1030.22,5.316666666666666,14.633333333333333,15.63,13.0,2.12,2.0,2.0,10.0,8.856,285.0,5.81,12.0,1.27,0.0,0.0,9.316666666666666,0,0,1,0,0,0,1,0,0,0
1.0,9.0,2014.0,22.32,14.0,18.55,17.0,23.98,22.0,2.12,2.0,0.73,11.03,0.82,0.31,0.0,0.0,0.0,1029.18,5.3,14.65,24.06,17.0,24.06,17.0,1.0,10.0,5.681,143.0,8.96,8.0,2.36,0.0,0.0,9.350000000000001,0,0,1,0,0,0,1,0,0,0
1.0,10.0,2014.0,35.39,17.0,29.47,6.0,35.96,21.0,23.98,22.0,1.0,33.17,0.94,0.35,0.036,0.1574,1.0,1012.22,5.3,14.666666666666666,40.07,17.0,35.15,6.0,1.0,10.0,2.781,175.0,15.03,20.0,5.2,16.0,0.0,9.366666666666667,0,0,0,1,0,0,0,1,0,0
1.0,11.0,2014.0,31.08,5.0,22.44,4.0,36.35,1.0,25.07,22.0,1.0,32.3,0.88,0.38,0.0046,0.0275,0.96,1001.35,5.3,14.683333333333334,36.2,5.0,29.16,5.0,1.0,10.0,6.305,261.0,17.37,12.0,6.74,2.0,0.0,9.383333333333333,0,0,0,1,0,0,0,1,0,0
1.0,12.0,2014.0,35.28,17.0,35.28,17.0,37.95,21.0,22.44,4.0,0.66,29.59,0.78,0.41,0.0,0.0,0.0,1008.02,5.3,14.7,41.15,17.0,39.85,6.0,2.0,10.0,9.122,201.0,20.99,21.0,8.43,0.0,0.0,9.399999999999999,0,0,1,0,0,0,1,0,0,0
1.0,13.0,2014.0,43.1,11.0,21.76,4.0,43.1,11.0,25.65,21.0,0.37,32.14,0.75,0.44,0.0,0.0,0.0,1003.89,5.283333333333333,14.716666666666667,46.46,11.0,26.58,3.0,2.0,10.0,9.644,234.0,19.68,22.0,6.29,0.0,0.0,9.433333333333334,0,0,1,0,0,0,1,0,0,0
1.0,14.0,2014.0,27.69,11.0,7.49,6.0,28.59,22.0,12.6,22.0,0.67,23.28,0.8,0.47,0.0002,0.0026,0.41,1007.48,5.283333333333333,14.733333333333333,34.8,11.0,16.02,6.0,2.0,10.0,7.407,245.0,26.16,15.0,7.64,11.0,0.001,9.45,0,0,0,0,0,1,0,0,0,1
1.0,15.0,2014.0,13.72,9.0,9.54,20.0,13.72,9.0,7.49,6.0,0.61,11.37,0.73,0.5,0.0,0.0,0.0,1016.32,5.266666666666667,14.75,20.34,10.0,16.6,18.0,2.0,10.0,8.977,263.0,15.37,1.0,6.15,0.0,0.0,9.483333333333334,0,0,1,0,0,0,1,0,0,0
1.0,16.0,2014.0,29.38,14.0,4.39,6.0,29.38,14.0,10.23,23.0,0.96,20.75,0.77,0.53,0.0001,0.001,0.31,1004.3,5.266666666666667,14.783333333333333,34.29,14.0,13.62,6.0,2.0,10.0,7.881,219.0,19.52,16.0,8.16,16.0,0.001,9.516666666666666,0,0,0,0,0,1,0,0,0,1
1.0,17.0,2014.0,8.22,14.0,4.08,2.0,11.59,22.0,3.58,8.0,0.99,8.79,0.73,0.56,0.0,0.0,0.0,1011.95,5.25,14.8,16.95,13.0,11.17,4.0,2.0,10.0,7.679,266.0,13.69,23.0,6.28,0.0,0.0,9.55,0,1,0,0,0,0,1,0,0,0
1.0,18.0,2014.0,20.36,16.0,2.92,4.0,20.36,16.0,4.08,2.0,0.85,11.85,0.82,0.59,0.0,0.0,0.0,1011.69,5.25,14.816666666666666,20.36,16.0,11.73,2.0,2.0,10.0,6.088,177.0,9.58,12.0,3.57,0.0,0.0,9.566666666666666,0,0,1,0,0,0,1,0,0,0
