month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipAccumulation,precipIntensityMaxTime,daylight_duration,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_sleet,icon_snow,precipType_None,precipType_rain,precipType_sleet,precipType_snow
1.0,1.0,2016.0,24.03,17.0,17.18,6.0,24.35,19.0,10.0,3.0,0.6,19.59,0.77,0.75,0.0,0.0,0.0,1021.95,5.316666666666666,14.516666666666667,30.46,17.0,21.81,6.0,1.0,10.0,7.192,251.0,16.68,11.0,6.97,0.0,0.0,9.200000000000001,0,0,1,0,0,0,1,0,0,0
1.0,2.0,2016.0,27.26,13.0,17.46,4.0,27.26,13.0,17.18,6.0,0.11,21.41,0.76,0.78,0.0001,0.0008,0.15,1017.91,5.316666666666666,14.533333333333333,33.48,13.0,23.87,4.0,2.0,10.0,7.43,249.0,16.22,18.0,5.68,0.0,14.0,9.216666666666667,1,0,0,0,0,0,0,0,0,1
1.0,3.0,2016.0,24.11,9.0,18.77,2.0,24.11,9.0,17.46,4.0,0.73,20.3,0.74,0.81,0.0,0.0,0.0,1020.98,5.316666666666666,14.533333333333333,30.55,10.0,24.97,1.0,1.0,10.0,7.598,316.0,11.97,11.0,5.38,0.0,0.0,9.216666666666667,0,0,1,0,0,0,1,0,0,0
1.0,4.0,2016.0,29.1,16.0,10.92,6.0,29.1,16.0,18.77,2.0,0.76,19.57,0.7,0.84,0.0,0.0,0.0,1031.03,5.316666666666666,14.55,30.93,11.0,19.59,5.0,1.0,10.0,7.228,3.0,14.38,9.0,4.98,0.0,0.0,9.233333333333334,0,0,1,0,0,0,1,0,0,0
1.0,5.0,2016.0,28.0,13.0,21.0,6.0,28.0,13.0,10.92,6.0,0.23,20.0,0.75,0.87,0.0001,0.0007,0.16,1032.33,5.316666666666666,14.566666666666666,33.92,12.0,24.92,5.0,2.0,10.0,7.468,184.0,13.41,12.0,4.9,0.0,12.0,9.25,0,0,1,0,0,0,0,0,0,1
1.0,6.0,2016.0,36.72,15.0,29.69,21.0,36.72,15.0,21.0,6.0,0.57,23.83,0.71,0.9,0.0005,0.0034,0.36,1025.33,5.316666666666666,14.583333333333334,37.74,13.0,35.19,3.0,2.0,10.0,7.303,187.0,10.37,10.0,4.39,0.0,13.0,9.266666666666667,0,0,0,1,0,0,0,1,0,0
1.0,7.0,2016.0,41.52,14.0,34.57,5.0,41.52,14.0,29.95,23.0,1.0,28.38,0.67,0.93,0.0018,0.0068,0.43,1018.69,5.316666666666666,14.6,41.52,14.0,38.9,2.0,1.0,10.0,8.547,159.0,8.31,23.0,3.52,0.0,11.0,9.283333333333333,0,0,0,1,0,0,0,1,0,0
1.0,8.0,2016.0,43.61,17.0,35.82,5.0,43.61,17.0,34.57,5.0,1.0,38.5,0.89,0.97,0.0077,0.0338,1.0,1009.09,5.316666666666666,14.616666666666667,43.61,17.0,37.54,6.0,1.0,10.0,4.314,156.0,7.0,5.0,3.41,0.0,16.0,9.3,0,0,0,1,0,0,0,1,0,0
1.0,9.0,2016.0,37.54,6.0,2.13,6.0,42.64,22.0,14.1,22.0,1.0,34.02,0.93,0.0,0.0046,0.0383,1.0,1009.02,5.3,14.633333333333333,37.91,5.0,14.1,6.0,1.0,10.0,2.986,309.0,17.01,21.0,4.55,0.021,13.0,9.333333333333332,0,0,0,0,0,1,0,0,0,1
1.0,10.0,2016.0,5.43,5.0,-15.81,1.0,14.1,22.0,-11.79,19.0,0.65,7.96,0.78,0.04,0.0,0.0,0.0,1014.55,5.3,14.65,16.34,5.0,0.8,4.0,2.0,10.0,9.06,293.0,16.66,0.0,9.23,0.0,0.0,9.350000000000001,0,0,1,0,0,0,1,0,0,0
