month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_partly-cloudy-night,icon_rain,precipType_None,precipType_rain,precipType_snow
1.0,1.0,2017.0,39.58,15.0,30.56,2.0,39.58,15.0,20.62,6.0,0.13,21.29,0.72,0.11,0.0,0.0,0.0,1020.01,7.316666666666666,16.516666666666666,39.58,15.0,30.56,2.0,2.0,12.0,9.45,191.0,9.16,12.0,0.84,0.0,0.0,9.2,0,0,0,0,1,0,1,0,0
1.0,2.0,2017.0,39.17,13.0,38.69,4.0,39.18,21.0,30.56,2.0,0.75,32.83,0.88,0.14,0.0041,0.0285,0.99,1017.64,7.316666666666666,16.533333333333335,39.23,12.0,38.69,4.0,1.0,10.0,5.36,84.0,8.21,12.0,1.94,15.0,0.0,9.216666666666669,0,0,1,0,0,0,0,1,0
1.0,3.0,2017.0,39.72,10.0,-1.21,8.0,39.72,10.0,13.97,23.0,0.96,34.84,0.92,0.18,0.001,0.0113,0.41,1009.93,7.316666666666666,16.55,39.77,11.0,10.84,8.0,1.0,10.0,4.4,307.0,17.48,21.0,3.42,13.0,0.0,9.233333333333334,0,0,1,0,0,0,0,1,0
1.0,4.0,2017.0,8.19,15.0,-3.91,3.0,9.79,0.0,-1.21,8.0,0.18,5.19,0.67,0.22,0.0,0.0,0.0,1017.05,7.316666666666666,16.566666666666666,18.63,14.0,7.43,3.0,2.0,12.0,10.0,275.0,18.53,14.0,8.02,0.0,0.0,9.25,0,0,0,0,1,0,1,0,0
1.0,5.0,2017.0,3.0,15.0,-9.56,5.0,3.0,15.0,-4.38,23.0,0.72,-0.07,0.65,0.25,0.0,0.0,0.0,1018.69,7.316666666666666,16.583333333333332,12.8,15.0,0.87,7.0,1.0,10.0,9.96,283.0,14.02,14.0,5.87,0.0,0.0,9.266666666666666,0,0,0,1,0,0,1,0,0
1.0,6.0,2017.0,5.98,18.0,-4.77,5.0,5.98,18.0,-9.56,5.0,0.21,-4.79,0.65,0.29,0.0,0.0,0.0,1025.83,7.316666666666666,16.6,8.64,14.0,1.89,2.0,2.0,12.0,9.99,281.0,11.61,13.0,4.34,0.0,0.0,9.283333333333335,0,0,0,1,0,0,1,0,0
1.0,7.0,2017.0,8.78,15.0,-3.71,1.0,8.78,15.0,-4.77,5.0,0.07,-1.3,0.62,0.33,0.0,0.0,0.0,1033.73,7.316666666666666,16.616666666666667,18.12,15.0,3.55,7.0,2.0,11.0,10.0,285.0,14.79,14.0,4.69,0.0,0.0,9.3,1,0,0,0,0,0,1,0,0
1.0,8.0,2017.0,14.89,12.0,5.3,20.0,14.89,12.0,-3.71,1.0,0.32,-0.81,0.58,0.36,0.0,0.0,0.0,1037.65,7.316666666666666,16.633333333333333,18.29,15.0,15.1,20.0,2.0,11.0,10.0,226.0,13.43,23.0,2.4,0.0,0.0,9.316666666666666,0,0,0,0,1,0,1,0,0
1.0,9.0,2017.0,23.79,14.0,22.41,20.0,26.32,23.0,9.74,0.0,0.83,17.64,0.72,0.4,0.0,0.0,0.0,1024.1,7.3,16.65,28.63,15.0,28.97,20.0,2.0,12.0,9.53,185.0,14.46,1.0,5.3,0.0,0.0,9.349999999999998,0,0,0,1,0,0,1,0,0
1.0,10.0,2017.0,50.22,15.0,17.28,22.0,50.22,15.0,17.28,22.0,0.92,33.25,0.82,0.44,0.0076,0.0483,1.0,1003.62,7.3,16.666666666666668,50.22,15.0,26.37,2.0,1.0,10.0,9.01,214.0,32.79,17.0,8.6,16.0,0.0,9.366666666666667,0,0,0,0,0,1,0,1,0
