month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,ozone,daylight_duration,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_sleet,icon_snow,precipType_None,precipType_rain,precipType_sleet,precipType_snow
1.0,1.0,2018.0,-9.41,13.0,-20.74,6.0,-9.41,13.0,-21.66,6.0,0.02,-11.65,0.66,0.5,0.0,0.0,0.0,1039.81,5.316666666666666,14.516666666666667,2.42,12.0,-8.98,5.0,2.0,10.0,9.997,274.0,11.45,7.0,6.09,0.0,0.0,,9.200000000000001,1,0,0,0,0,0,1,0,0,0
1.0,2.0,2018.0,-4.72,12.0,-12.23,17.0,-3.47,22.0,-20.74,6.0,0.07,-8.36,0.7,0.54,0.0,0.0,0.0,1032.49,5.316666666666666,14.533333333333333,7.17,12.0,1.57,17.0,2.0,10.0,9.994,224.0,13.94,16.0,5.95,0.0,0.0,,9.216666666666667,1,0,0,0,0,0,1,0,0,0
1.0,3.0,2018.0,7.68,6.0,-9.25,6.0,7.68,6.0,-3.75,22.0,0.82,4.87,0.7,0.58,0.0,0.0,0.0,1020.04,5.316666666666666,14.55,17.02,10.0,1.03,5.0,1.0,10.0,8.372,277.0,13.61,22.0,6.25,0.0,0.0,,9.233333333333334,0,0,1,0,0,0,1,0,0,0
1.0,4.0,2018.0,1.75,11.0,-10.61,5.0,1.75,11.0,-9.25,6.0,0.06,-3.21,0.66,0.62,0.0,0.0,0.0,1026.04,5.316666666666666,14.566666666666666,12.04,12.0,-0.9,4.0,2.0,10.0,9.997,308.0,11.39,10.0,5.57,0.0,0.0,,9.25,1,0,0,0,0,0,1,0,0,0
1.0,5.0,2018.0,0.79,12.0,-9.65,6.0,2.66,21.0,-10.61,5.0,0.05,-4.73,0.66,0.65,0.0,0.0,0.0,1030.72,5.316666666666666,14.583333333333334,11.03,12.0,-1.17,5.0,2.0,10.0,9.997,305.0,12.93,8.0,4.8,0.0,0.0,,9.266666666666667,1,0,0,0,0,0,1,0,0,0
1.0,6.0,2018.0,16.66,13.0,-3.49,21.0,16.66,13.0,-9.65,6.0,0.1,-3.68,0.63,0.69,0.0,0.0,0.0,1035.38,5.316666666666666,14.6,16.66,13.0,6.49,21.0,2.0,10.0,9.997,261.0,8.2,22.0,3.2,0.0,0.0,,9.283333333333333,1,0,0,0,0,0,1,0,0,0
1.0,7.0,2018.0,24.48,17.0,24.48,17.0,25.81,22.0,-2.49,22.0,0.96,15.03,0.73,0.72,0.0,0.0,0.0,1020.36,5.316666666666666,14.616666666666667,31.06,17.0,31.06,17.0,1.0,10.0,8.919,193.0,16.72,7.0,7.55,0.0,0.0,,9.3,0,1,0,0,0,0,1,0,0,0
1.0,8.0,2018.0,31.17,14.0,25.73,20.0,31.17,14.0,25.73,20.0,0.56,29.6,0.86,0.76,0.0014,0.0062,0.38,1016.61,5.316666666666666,14.633333333333333,36.89,13.0,27.4,5.0,2.0,10.0,6.669,246.0,13.58,11.0,6.26,12.0,0.0,,9.316666666666666,0,0,0,1,0,0,0,1,0,0
1.0,9.0,2018.0,33.51,14.0,24.82,18.0,33.51,14.0,24.82,18.0,0.8,27.6,0.9,0.79,0.0,0.0002,0.03,1023.45,5.3,14.65,34.14,13.0,29.59,21.0,1.0,10.0,3.209,176.0,8.05,18.0,3.2,13.0,0.0,,9.350000000000001,0,0,1,0,0,0,1,0,0,0
1.0,10.0,2018.0,51.86,17.0,51.86,17.0,55.11,22.0,25.34,22.0,0.97,41.07,0.93,0.82,0.0005,0.0024,0.4,1011.68,5.3,14.666666666666666,51.86,17.0,51.86,17.0,1.0,10.0,4.218,186.0,23.36,19.0,8.09,4.0,0.0,,9.366666666666667,0,0,0,1,0,0,0,1,0,0
